"transactions";"elapsed";"perSecond";"date";"memory";"average";"averageMemory"
"7449";"1.04";"7162.5";"2021-5-6 12:06:21";"10.645530700683594";"7214.271893286106";"16.5858161078559"
"7268";"1.057";"6876.0643330179755";"2021-5-6 12:06:22";"13.940406799316406";"7206.919555019407";"16.528307209844176"
"7033";"1.016";"6922.244094488189";"2021-5-6 12:06:23";"25.06836700439453";"7200.862630327255";"16.710010609728226"
"7323";"1.063";"6888.993414863594";"2021-5-6 12:06:24";"12.443038940429688";"7194.365355005095";"16.62111536661784"
"7364";"1.016";"7248.031496062992";"2021-5-6 12:06:25";"18.275985717773438";"7195.460582373624";"16.654888230927135"
"7454";"1.008";"7394.841269841269";"2021-5-6 12:06:26";"14.534004211425781";"7199.448196122976";"16.61247055053711"
"7726";"1.018";"7589.390962671906";"2021-5-6 12:06:27";"22.25133514404297";"7207.094132721974";"16.723036522958793"
"7720";"1.0150000000000001";"7605.91133004926";"2021-5-6 12:06:28";"13.95660400390625";"7214.763694209038";"16.6698358975924"
"7751";"1.0110000000000001";"7666.666666666666";"2021-5-6 12:06:29";"22.448097229003906";"7223.290165387484";"16.778859696298277"
"7531";"1.004";"7500.996015936255";"2021-5-6 12:06:30";"23.313034057617188";"7228.432866323572";"16.89986292521159"
"7424";"1.026";"7235.867446393762";"2021-5-6 12:06:31";"18.100296020507812";"7228.568040506667";"16.9216889814897"
"7433";"1.014";"7330.374753451676";"2021-5-6 12:06:32";"12.43017578125";"7230.386017523541";"16.84148338862828"
"7446";"1.0050000000000001";"7408.955223880596";"2021-5-6 12:06:33";"24.31421661376953";"7233.518810617525";"16.972583971525495"
"7560";"1.002";"7544.9101796407185";"2021-5-6 12:06:34";"24.52631378173828";"7238.887627324821";"17.10282069239123"
"7623";"1.0090000000000001";"7555.004955401387";"2021-5-6 12:06:35";"12.487060546875";"7244.245548139678";"17.02458746958587"
"7410";"1.008";"7351.190476190476";"2021-5-6 12:06:36";"22.218399047851562";"7246.027963607192";"17.1111509958903"
"7744";"1.0110000000000001";"7659.742828882294";"2021-5-6 12:06:37";"14.427925109863281";"7252.810174513341";"17.067163686283298"
"7533";"1.0110000000000001";"7451.038575667655";"2021-5-6 12:06:38";"14.332534790039062";"7256.007406790023";"17.02305676860194"
"7707";"1.025";"7519.024390243903";"2021-5-6 12:06:39";"20.879776000976562";"7260.18227954326";"17.08427453419519"
"7598";"1.022";"7434.442270058708";"2021-5-6 12:06:40";"21.647750854492188";"7262.905091895064";"17.15557885169983"
"7506";"0.999";"7513.513513513513";"2021-5-6 12:06:41";"21.93657684326172";"7266.760606073809";"17.229132666954627"
"6244";"1.087";"5744.2502299908";"2021-5-6 12:06:42";"25.27928924560547";"7243.692267042249";"17.351104736328125"
"6121";"1.024";"5977.5390625";"2021-5-6 12:06:43";"23.037628173828125";"7224.79445801923";"17.435978220469917"
"6984";"1.2790000000000001";"5460.516028146989";"2021-5-6 12:06:45";"19.415237426757812";"7198.849186991698";"17.46508497350356"
"5434";"1.01";"5380.19801980198";"2021-5-6 12:06:46";"19.447433471679688";"7172.491923699093";"17.493814661882926"
"7991";"1.164";"6865.120274914089";"2021-5-6 12:06:47";"15.049034118652344";"7168.100900145021";"17.45888922555106"
"7822";"1.043";"7499.520613614573";"2021-5-6 12:06:48";"18.153106689453125";"7172.768783433326";"17.468666936310246"
"7717";"1.0030000000000001";"7693.918245264206";"2021-5-6 12:06:49";"24.149093627929688";"7180.0069704031985";"17.561450640360516"
"7611";"1.012";"7520.750988142292";"2021-5-6 12:06:50";"12.014396667480469";"7184.674696673597";"17.48546359963613"
"7582";"1.018";"7447.937131630648";"2021-5-6 12:06:51";"13.34417724609375";"7188.23229714599";"17.429500270534206"
"7430";"1.117";"6651.745747538049";"2021-5-6 12:06:52";"23.889450073242188";"7181.079143151217";"17.515632934570313"
"7098";"1.102";"6441.016333938293";"2021-5-6 12:06:53";"20.503875732421875";"7171.341474608943";"17.554951918752568"
"7405";"1.07";"6920.560747663551";"2021-5-6 12:06:54";"26.55340576171875";"7168.08458205121";"17.671814955674208"
"7022";"1.006";"6980.119284294235";"2021-5-6 12:06:55";"21.410789489746094";"7165.6747705415055";"17.719750526623848"
"7320";"1.048";"6984.73282442748";"2021-5-6 12:06:56";"26.215866088867188";"7163.384366160315";"17.82729629323452"
"6901";"1.122";"6150.623885918003";"2021-5-6 12:06:57";"17.497360229492188";"7150.7248601572865";"17.823172092437744"
"6616";"1.077";"6142.989786443825";"2021-5-6 12:06:58";"15.972007751464844";"7138.283686407738";"17.800318211684992"
"7331";"1.106";"6628.390596745026";"2021-5-6 12:07:00";"20.44634246826172";"7132.065477997218";"17.83258680017983"
"6896";"1.104";"6246.376811594202";"2021-5-6 12:07:01";"11.462074279785156";"7121.39453020923";"17.75583363728351"
"6717";"1.2630000000000001";"5318.289786223278";"2021-5-6 12:07:02";"16.00505828857422";"7099.928997542731";"17.7349910736084"
"7543";"1.0210000000000001";"7387.855044074436";"2021-5-6 12:07:03";"12.878974914550781";"7103.316362796046";"17.67786147173713"
